date,indx
1970-03-31,38.1516
1970-06-30,37.9636
1970-09-30,37.965
1970-12-31,39.2437
1971-03-31,39.3625
1971-06-30,39.3161
1971-09-30,38.4822
1971-12-31,40.1863
1972-03-31,40.5501
1972-06-30,40.1764
1972-09-30,39.904
1972-12-31,41.4561
1973-03-31,42.8236
1973-06-30,44.0906
1973-09-30,45.9878
1973-12-31,49.4522
1974-03-31,53.4267
1974-06-30,53.9518
1974-09-30,51.9164
1974-12-31,50.5765
1975-03-31,52.294
1975-06-30,52.7434
1975-09-30,52.6905
1975-12-31,53.7542
1976-03-31,55.267
1976-06-30,55.1091
1976-09-30,54.3905
1976-12-31,55.6481
1977-03-31,54.9948
1977-06-30,53.8094
1977-09-30,52.5147
1977-12-31,52.9206
1978-03-31,51.6946
1978-06-30,51.9821
1978-09-30,50.6367
1978-12-31,52.1436
1979-03-31,52.7925
1979-06-30,52.4942
1979-09-30,51.2621
1979-12-31,52.3214
1980-03-31,51.9589
1980-06-30,52.6125
1980-09-30,53.2591
1980-12-31,55.1066
1981-03-31,55.3188
1981-06-30,54.1451
1981-09-30,53.9036
1981-12-31,53.3638
1982-03-31,49.9355
1982-06-30,46.4056
1982-09-30,44.5756
1982-12-31,44.8387
1983-03-31,47.5674
1983-06-30,46.9074
1983-09-30,45.5728
1983-12-31,45.323
1984-03-31,44.7485
1984-06-30,44.6323
1984-09-30,43.447
1984-12-31,43.6519
1985-03-31,44.0646
1985-06-30,44.5627
1985-09-30,44.358
1985-12-31,45.8775
1986-03-31,47.9237
1986-06-30,49.9282
1986-09-30,50.191
1986-12-31,53.1148
1987-03-31,57.0478
1987-06-30,55.5643
1987-09-30,54.9735
1987-12-31,57.5943
1988-03-31,62.3874
1988-06-30,62.9101
1988-09-30,62.8579
1988-12-31,67.4369
1989-03-31,73.2964
1989-06-30,65.8368
1989-09-30,66.436
1989-12-31,69.7457
1990-03-31,67.5219
1990-06-30,62.4101
1990-09-30,62.1317
1990-12-31,61.7145
1991-03-31,62.8823
1991-06-30,64.6421
1991-09-30,60.6376
1991-12-31,61.4683
1992-03-31,62.2387
1992-06-30,62.3972
1992-09-30,62.2764
1992-12-31,63.3468
1993-03-31,63.4415
1993-06-30,63.3176
1993-09-30,61.6801
1993-12-31,62.1264
1994-03-31,65.273
1994-06-30,64.9563
1994-09-30,63.5844
1994-12-31,64.1443
1995-03-31,61.7928
1995-06-30,59.7398
1995-09-30,60.1995
1995-12-31,60.2732
1996-03-31,59.296
1996-06-30,60.0922
1996-09-30,59.1753
1996-12-31,59.16
1997-03-31,59.5255
1997-06-30,60.8449
1997-09-30,59.6296
1997-12-31,59.5975
1998-03-31,58.7171
1998-06-30,59.072
1998-09-30,57.8359
1998-12-31,58.5525
1999-03-31,58.7194
1999-06-30,60.36
1999-09-30,59.4283
1999-12-31,60.0764
2000-03-31,60.0711
2000-06-30,60.7041
2000-09-30,60.0071
2000-12-31,60.2182
2001-03-31,59.9294
2001-06-30,61.4651
2001-09-30,61.5748
2001-12-31,62.9571
2002-03-31,65.2743
2002-06-30,66.8429
2002-09-30,65.5781
2002-12-31,67.3256
2003-03-31,67.8586
2003-06-30,70.2072
2003-09-30,71.4171
2003-12-31,73.3939
2004-03-31,74.2536
2004-06-30,76.8199
2004-09-30,74.8714
2004-12-31,77.3993
2005-03-31,79.9412
2005-06-30,81.2524
2005-09-30,81.9448
2005-12-31,82.9798
2006-03-31,85.6578
2006-06-30,88.764
2006-09-30,90.9982
2006-12-31,91.8116
2007-03-31,93.7553
2007-06-30,96.4194
2007-09-30,98.4359
2007-12-31,98.7641
2008-03-31,99.9306
2008-06-30,98.653
2008-09-30,95.68
2008-12-31,93.3232
2009-03-31,90.6825
2009-06-30,91.9593
2009-09-30,95.0574
2009-12-31,97.6107
2010-03-31,100.2438
2010-06-30,101.3371
2010-09-30,99.7146
2010-12-31,98.7219
2011-03-31,100.5969
2011-06-30,102.5685
2011-09-30,103.7585
2011-12-31,103.6796
2012-03-31,105.5386
2012-06-30,106.9303
2012-09-30,106.0767
2012-12-31,104.7044
2013-03-31,105.4775
2013-06-30,107.0699
2013-09-30,107.4486
2013-12-31,108.0217
2014-03-31,109.3543
2014-06-30,110.5261
2014-09-30,111.0363
2014-12-31,111.8501
2015-03-31,114.857
2015-06-30,117.4469
2015-09-30,119.1831
2015-12-31,120.847
2016-03-31,126.8984
2016-06-30,133.3705
2016-09-30,137.1935
2016-12-31,138.2738
2017-03-31,146.4193
2017-06-30,153.8374
2017-09-30,155.6623
2017-12-31,154.6915
2018-03-31,154.147
2018-06-30,154.8542
2018-09-30,154.4196
2018-12-31,154.286
2019-03-31,152.5901
2019-06-30,151.8894
2019-09-30,151.7732
2019-12-31,153.6002
2020-03-31,156.2749
2020-06-30,160.4669
2020-09-30,161.8262
2020-12-31,165.1458
2021-03-31,167.5337
2021-06-30,176.1755
2021-09-30,177.8443
2021-12-31,179.6678
2022-03-31,198.607
2022-06-30,187.6682
2022-09-30,169.2519
2022-12-31,160.5654
2023-03-31,159.7024
2023-06-30,165.2839
2023-09-30,162.7144
2023-12-31,156.2966
2024-03-31,156.4211
2024-06-30,156.3798
2024-09-30,153.045
2024-12-31,150.5615
2025-03-31,150.6479
2025-06-30,149.181
2025-09-30,145.2817
2025-12-31,142.2693