time,Adj Close 
01-May-26,151.44
01-Apr-26,151.2
01-Mar-26,138
01-Feb-26,147.49
01-Jan-26,145.11
01-Dec-25,139.61
01-Nov-25,139.44
01-Oct-25,139.15
01-Sep-25,135.91
01-Aug-25,131.94
01-Jul-25,128.15
01-Jun-25,126.16
01-May-25,121.1
01-Apr-25,114.45
01-Mar-25,113.45
01-Feb-25,117.97
01-Jan-25,118.46
01-Dec-24,114.09
01-Nov-24,118.42
01-Oct-24,113.71
01-Sep-24,115.84
01-Aug-24,113.75
01-Jul-24,111.15
01-Jun-24,108.44
01-May-24,107.29
01-Apr-24,102.58
01-Mar-24,105.98
01-Feb-24,103.1
01-Jan-24,98.67
01-Dec-23,97.89
01-Nov-23,93.83
01-Oct-23,86.08
01-Sep-23,88.29
01-Aug-23,92.6
01-Jul-23,95.31
01-Jun-23,91.28
01-May-23,86.85
01-Apr-23,87.91
01-Mar-23,86.4
01-Feb-23,84.28
01-Jan-23,87.04
01-Dec-22,80.27
01-Nov-22,84.62
01-Oct-22,78.14
01-Sep-22,73.11
01-Aug-22,81.2
01-Jul-22,84.63
01-Jun-22,78.54
01-May-22,86.09
01-Apr-22,85.67
01-Mar-22,92.98
01-Feb-22,91.49
01-Jan-22,94.1
01-Dec-21,97.88
01-Nov-21,95
01-Oct-21,97.55
01-Sep-21,92.41
01-Aug-21,96.75
01-Jul-21,94.61
01-Jun-21,93.56
01-May-21,92.93
01-Apr-21,91.49
01-Mar-21,87.63
01-Feb-21,85.42
01-Jan-21,83.2
01-Dec-20,82.89
01-Nov-20,79.47
01-Oct-20,70.72
01-Sep-20,71.84
01-Aug-20,74.38
01-Jul-20,70.16
01-Jun-20,66.32
01-May-20,64.65
01-Apr-20,61.45
01-Mar-20,55.46
01-Feb-20,65.32
01-Jan-20,70.41
01-Dec-19,70.98
01-Nov-19,69.13
01-Oct-19,67.41
01-Sep-19,65.2
01-Aug-19,64.12
01-Jul-19,65.5
01-Jun-19,65.01
01-May-19,61.57
01-Apr-19,65.48
01-Mar-19,63.04
01-Feb-19,62.62
01-Jan-19,60.9
01-Dec-18,55.97
01-Nov-18,60.8
01-Oct-18,59.76
01-Sep-18,64.53
01-Aug-18,64.78
01-Jul-18,64.23
01-Jun-18,61.97
01-May-18,62.81
01-Apr-18,62.45
01-Mar-18,61.97
01-Feb-18,63
01-Jan-18,65.93
01-Dec-17,62.09
01-Nov-17,61.52
01-Oct-17,60.37
01-Sep-17,58.83
01-Aug-17,57.91
01-Jul-17,57.67
01-Jun-17,55.79
01-May-17,55.83
01-Apr-17,54.76
01-Mar-17,53.68
01-Feb-17,53.1
01-Jan-17,51.71
01-Dec-16,49.83
01-Nov-16,49.31
01-Oct-16,48.73
01-Sep-16,49.45
01-Aug-16,49.32
01-Jul-16,49.15
01-Jun-16,46.82
01-May-16,47.28
01-Apr-16,46.98
01-Mar-16,46.33
01-Feb-16,43.07
01-Jan-16,43.56
01-Dec-15,45.97
01-Nov-15,47.3
01-Oct-15,47.34
01-Sep-15,43.91
01-Aug-15,45.83
01-Jul-15,49.08
01-Jun-15,48.49
01-May-15,49.95
01-Apr-15,49.78
01-Mar-15,48.3
01-Feb-15,49.14
01-Jan-15,46.38
01-Dec-14,46.85
01-Nov-14,48.1
01-Oct-14,47.5
01-Sep-14,46.84
01-Aug-14,48.68
01-Jul-14,47.42
01-Jun-14,47.91
01-May-14,47.23
01-Apr-14,46.28
01-Mar-14,45.68
01-Feb-14,45.72
01-Jan-14,43.45
01-Dec-13,45.18
01-Nov-13,44.5
01-Oct-13,43.82
01-Sep-13,42.07
01-Aug-13,40.02
01-Jul-13,41.02
01-Jun-13,38.68
01-May-13,40.08
01-Apr-13,40.31
01-Mar-13,39.13
01-Feb-13,38.35
01-Jan-13,38.47
01-Dec-12,36.58
01-Nov-12,35.88
01-Oct-12,35.34
01-Sep-12,35.13
01-Aug-12,34.48
01-Jul-12,33.64
01-Jun-12,33.4
01-May-12,31.77
01-Apr-12,34.89
01-Mar-12,35.3
01-Feb-12,34.9
01-Jan-12,33.31
01-Dec-11,30.85
01-Nov-11,31.91
01-Oct-11,32.31
01-Sep-11,29.04
01-Aug-11,32.52
01-Jul-11,35.07
01-Jun-11,35.84
01-May-11,36.32
01-Apr-11,37.17
01-Mar-11,35.62
01-Feb-11,35.64
01-Jan-11,34.62
01-Dec-10,33.5
01-Nov-10,31.72
01-Oct-10,32.58
01-Sep-10,31.39
01-Aug-10,28.52
01-Jul-10,29.7
01-Jun-10,27.2
01-May-10,27.99
01-Apr-10,31.06
01-Mar-10,31.2
01-Feb-10,29.25
01-Jan-10,28.65
01-Dec-09,29.74
01-Nov-09,29.73
01-Oct-09,28.23
01-Sep-09,28.96
01-Aug-09,27.52
01-Jul-09,26.8
01-Jun-09,24.33
01-May-09,24.76
01-Apr-09,22.39
01-Mar-09,19.98
01-Feb-09,18.36
01-Jan-09,20.29
01-Dec-08,22.61
01-Nov-08,21.59
01-Oct-08,23.17
01-Sep-08,29.49
01-Aug-08,32.45
01-Jul-08,33.06