Vanguard Total World Stock Index Fund ETF Shares (VT),,,,,,
151.44+0.24(+0.16%),,,,,,
At close: May 1 at 4:00:00 PM EDT,,,,,,
151.62+0.18(+0.12%),,,,,,
After hours: May 1 at 7:59:33 PM EDT,,,,,,
"Jul 01, 2008 - May 03, 2026",,,,,,
Historical Prices,,,,,,
Monthly,,,,,,
Currency in USD,,,,,,
Download,,,,,,
Date,Open,High,Low,Close ,Adj Close ,Volume
01-May-26,151.6,152.4,151.33,151.44,151.44,"2,816,800"
01-Apr-26,139.34,151.44,136.98,151.2,151.2,"67,770,700"
20-Mar-26,0.327 Dividend ,,,,,
01-Mar-26,145.47,147.46,133.65,138.32,138,"148,704,000"
01-Feb-26,145.18,149.07,143.12,147.84,147.49,"98,977,600"
01-Jan-26,142.26,147.48,141.38,145.45,145.11,"110,159,400"
19-Dec-25,1.115 Dividend ,,,,,
01-Dec-25,140.17,142.66,139.33,141.06,139.61,"65,886,000"
01-Nov-25,141.1,141.63,134.48,140.89,139.44,"71,097,100"
01-Oct-25,137.66,142.21,135.11,140.59,139.15,"66,029,600"
19-Sep-25,0.478 Dividend ,,,,,
01-Sep-25,132.31,138.35,131.89,137.8,135.91,"61,901,200"
01-Aug-25,129.08,134.66,127.79,133.77,131.94,"56,404,800"
01-Jul-25,128.28,132.07,128.12,129.93,128.15,"54,035,700"
20-Jun-25,0.595 Dividend ,,,,,
01-Jun-25,123.21,128.68,122.7,128.52,126.16,"51,069,000"
01-May-25,117.67,124.1,116.87,123.37,121.1,"45,874,100"
01-Apr-25,115.56,117.37,100.89,116.6,114.45,"69,576,100"
21-Mar-25,0.385 Dividend ,,,,,
01-Mar-25,121.49,121.74,113.83,115.95,113.45,"41,441,800"
01-Feb-25,119.22,123.98,118.75,120.57,117.97,"36,550,800"
01-Jan-25,117.98,122.66,115.14,121.07,118.46,"59,105,500"
20-Dec-24,0.877 Dividend ,,,,,
01-Dec-24,122.1,123.64,116.39,117.48,114.09,"32,501,000"
01-Nov-24,117.76,122.07,117.25,121.94,118.42,"28,579,200"
01-Oct-24,119.72,120.82,117.03,117.09,113.71,"29,733,600"
20-Sep-24,0.417 Dividend ,,,,,
01-Sep-24,116.69,120.43,112.49,119.7,115.84,"24,086,200"
01-Aug-24,114.74,117.6,105.9,117.54,113.75,"25,529,200"
01-Jul-24,113.1,117.26,111.86,114.86,111.15,"27,928,500"
21-Jun-24,0.578 Dividend ,,,,,
01-Jun-24,111.91,113.82,110.72,112.63,108.44,"23,095,600"
01-May-24,106.42,112.92,106.1,111.44,107.29,"26,100,200"
01-Apr-24,110.64,110.74,104.64,106.54,102.58,"44,951,300"
15-Mar-24,0.421 Dividend ,,,,,
01-Mar-24,107.78,110.7,107.08,110.5,105.98,"36,607,300"
01-Feb-24,103.26,107.79,103.03,107.5,103.1,"35,109,700"
01-Jan-24,102.09,104.4,100.14,102.88,98.67,"49,626,500"
18-Dec-23,0.801 Dividend ,,,,,
01-Dec-23,98.46,103.4,98.33,102.88,97.89,"37,526,900"
01-Nov-23,90.65,98.9,90.52,98.61,93.83,"35,170,700"
01-Oct-23,92.99,94.71,88.74,90.46,86.08,"56,229,900"
18-Sep-23,0.406 Dividend ,,,,,
01-Sep-23,98.53,98.64,92.13,93.18,88.29,"30,307,700"
01-Aug-23,100.08,100.21,94.23,97.73,92.6,"30,583,900"
01-Jul-23,97.06,100.73,94.97,100.59,95.31,"22,519,100"
20-Jun-23,0.65 Dividend ,,,,,
01-Jun-23,92.55,98.49,92.34,96.98,91.28,"27,182,900"
01-May-23,93.3,94.17,91.35,92.27,86.85,"30,248,200"
01-Apr-23,92.1,93.78,91.23,93.4,87.91,"25,614,000"
20-Mar-23,0.285 Dividend ,,,,,
01-Mar-23,90.17,92.25,86.13,92.09,86.4,"53,201,100"
01-Feb-23,92.68,94.87,89.19,89.83,84.28,"39,233,300"
01-Jan-23,86.88,93.24,85.71,92.78,87.04,"54,605,500"
19-Dec-22,0.638 Dividend ,,,,,
01-Dec-22,91.27,91.89,84.82,86.19,80.27,"75,127,000"
01-Nov-22,85.13,90.87,81.08,90.86,84.62,"46,491,400"
01-Oct-22,79.81,84.62,76.8,83.91,78.14,"60,654,000"
19-Sep-22,0.403 Dividend ,,,,,
01-Sep-22,86.94,90.7,78.87,78.88,73.11,"44,334,800"
01-Aug-22,90.95,94.8,87.58,87.6,81.2,"30,792,400"
01-Jul-22,84.84,91.36,82.75,91.3,84.63,"49,281,700"
21-Jun-22,0.598 Dividend ,,,,,
01-Jun-22,94.15,94.73,83.24,85.34,78.54,"59,241,500"
01-May-22,92.97,96.27,86.64,93.55,86.09,"101,778,800"
01-Apr-22,101.92,102.8,92.99,93.09,85.67,"58,337,900"
21-Mar-22,0.257 Dividend ,,,,,
01-Mar-22,99.38,103.48,93.19,101.29,92.98,"72,254,400"
01-Feb-22,102.86,104.95,94.52,99.67,91.49,"94,573,200"
01-Jan-22,107.91,108.58,97.2,102.51,94.1,"71,026,400"
20-Dec-21,0.785 Dividend ,,,,,
01-Dec-21,105.6,108.18,102.56,107.43,97.88,"66,477,300"
01-Nov-21,107.42,109.39,103.85,104.27,95,"40,042,800"
01-Oct-21,102.08,107.63,100.7,107.07,97.55,"36,029,100"
20-Sep-21,0.412 Dividend ,,,,,
01-Sep-21,107.07,107.74,101.69,101.83,92.41,"44,285,100"
01-Aug-21,104.85,106.78,102.83,106.61,96.75,"31,293,600"
01-Jul-21,103.74,105.1,100.88,104.25,94.61,"67,487,700"
21-Jun-21,0.505 Dividend ,,,,,
01-Jun-21,103.82,104.51,101.56,103.61,93.56,"32,203,400"
01-May-21,101.95,103.18,98.57,102.91,92.93,"38,581,100"
01-Apr-21,97.93,102.78,97.91,101.31,91.49,"33,771,800"
22-Mar-21,0.253 Dividend ,,,,,
01-Mar-21,96.14,98.78,92.95,97.29,87.63,"59,513,100"
01-Feb-21,93.42,99.19,92.95,94.84,85.42,"26,865,600"
01-Jan-21,93.44,96.42,91.28,92.37,83.2,"46,092,800"
21-Dec-20,0.552 Dividend ,,,,,
01-Dec-20,89.9,92.9,89.53,92.58,82.89,"28,421,400"
01-Nov-20,79.86,89.86,79.27,88.76,79.47,"27,913,000"
01-Oct-20,81.26,84.89,78.28,78.99,70.72,"29,704,600"
21-Sep-20,0.403 Dividend ,,,,,
01-Sep-20,83.68,85.19,77.64,80.64,71.84,"33,025,600"
01-Aug-20,79.29,83.99,79.18,83.49,74.38,"19,741,000"
01-Jul-20,75.03,79.73,74.92,78.76,70.16,"34,653,100"
22-Jun-20,0.36 Dividend ,,,,,
01-Jun-20,73.14,78.44,72.27,74.8,66.32,"50,768,900"
01-May-20,68.07,73.64,66.16,72.92,64.65,"45,820,500"
01-Apr-20,60.7,70.66,59.63,69.31,61.45,"57,135,500"
23-Mar-20,0.221 Dividend ,,,,,
01-Mar-20,74.06,77.18,53.7,62.8,55.46,"117,625,500"
01-Feb-20,80,83.23,71.49,73.97,65.32,"44,682,000"
01-Jan-20,81.43,83.08,79.41,79.73,70.41,"44,495,500"
23-Dec-19,0.611 Dividend ,,,,,
01-Dec-19,78.9,81.41,77.31,80.99,70.98,"37,902,000"
01-Nov-19,77.33,79.39,77.33,78.88,69.13,"25,999,700"
01-Oct-19,74.94,77.22,72.25,76.91,67.41,"45,699,200"
24-Sep-19,0.435 Dividend ,,,,,
01-Sep-19,73.06,76.44,72.82,74.82,65.2,"32,674,800"
01-Aug-19,75.3,75.91,71.19,73.58,64.12,"45,599,400"
01-Jul-19,76.02,76.54,74.58,75.16,65.5,"31,608,300"
17-Jun-19,0.551 Dividend ,,,,,
01-Jun-19,71.34,75.57,71.01,75.16,65.01,"39,545,700"
01-May-19,75.91,75.99,70.92,71.19,61.57,"51,576,200"
01-Apr-19,73.76,75.77,73.76,75.71,65.48,"36,114,300"
25-Mar-19,0.281 Dividend ,,,,,
01-Mar-19,73.1,74.31,71.08,73.17,63.04,"65,571,400"
01-Feb-19,70.77,73.32,69.89,72.68,62.62,"53,058,200"
01-Jan-19,64.52,70.87,64.2,70.69,60.9,"64,270,200"
24-Dec-18,0.489 Dividend ,,,,,
01-Dec-18,72.36,72.38,62.14,65.46,55.97,"104,539,900"
01-Nov-18,70.41,72.65,68.38,71.11,60.8,"48,684,500"
01-Oct-18,76.26,76.32,67.48,69.9,59.76,"58,978,200"
26-Sep-18,0.362 Dividend ,,,,,
01-Sep-18,75.65,76.97,74.36,75.83,64.53,"28,486,600"
01-Aug-18,75.43,76.83,73.29,76.13,64.78,"35,475,800"
01-Jul-18,72.65,76.05,72.55,75.48,64.23,"19,171,300"
22-Jun-18,0.551 Dividend ,,,,,
01-Jun-18,74.85,76.36,72.39,73.37,61.97,"24,950,900"
01-May-18,73.89,76.06,72.74,74.36,62.81,"18,385,600"
01-Apr-18,73.39,75.55,71.6,73.94,62.45,"22,642,200"
26-Mar-18,0.257 Dividend ,,,,,
01-Mar-18,74.83,76.98,72.25,73.63,61.97,"25,067,400"
01-Feb-18,78.08,78.55,70.56,74.85,63,"53,242,200"
01-Jan-18,74.55,79.74,74.51,78.33,65.93,"27,138,800"
19-Dec-17,0.492 Dividend ,,,,,
01-Dec-17,73.5,74.7,72.67,74.26,62.09,"18,062,200"
01-Nov-17,72.5,73.83,71.33,73.58,61.52,"15,100,300"
01-Oct-17,70.71,72.29,70.65,72.21,60.37,"13,943,900"
27-Sep-17,0.354 Dividend ,,,,,
01-Sep-17,69.83,71.1,69.02,70.72,58.83,"16,368,000"
01-Aug-17,69.68,69.91,68.16,69.61,57.91,"16,977,700"
01-Jul-17,67.77,69.61,67.02,69.32,57.67,"11,476,600"
28-Jun-17,0.466 Dividend ,,,,,
01-Jun-17,67.58,68.62,67.02,67.53,55.79,"24,392,400"
01-May-17,66.47,67.85,66.1,67.57,55.83,"18,571,400"
01-Apr-17,65.29,66.62,64.47,66.28,54.76,"13,028,000"
29-Mar-17,0.253 Dividend ,,,,,
01-Mar-17,65.04,65.96,64.24,65.22,53.68,"23,085,000"
01-Feb-17,63.07,65.19,62.74,64.52,53.1,"21,832,600"
01-Jan-17,61.45,63.39,61.24,62.83,51.71,"12,636,500"
20-Dec-16,0.457 Dividend ,,,,,
01-Dec-16,60.36,62.61,59.97,61,49.83,"26,900,200"
01-Nov-16,59.77,60.71,58.4,60.36,49.31,"13,366,800"
01-Oct-16,60.69,60.98,59.08,59.65,48.73,"12,886,300"
13-Sep-16,0.311 Dividend ,,,,,
01-Sep-16,60.8,61.99,59.19,60.85,49.45,"11,550,600"
01-Aug-16,60.41,61.58,59.61,60.69,49.32,"12,168,400"
01-Jul-16,58.12,60.55,56.93,60.48,49.15,"10,151,800"
14-Jun-16,0.466 Dividend ,,,,,
01-Jun-16,58.46,60,54.75,58.07,46.82,"18,085,300"
01-May-16,58.45,58.94,56.64,58.65,47.28,"7,907,500"
01-Apr-16,57,59.56,56.22,58.27,46.98,"14,559,600"
15-Mar-16,0.222 Dividend ,,,,,
01-Mar-16,54.2,57.97,54.1,57.69,46.33,"19,906,000"
01-Feb-16,53.91,54.49,50.34,53.64,43.07,"27,185,100"
01-Jan-16,56.59,56.75,50.42,54.24,43.56,"27,634,400"
21-Dec-15,0.368 Dividend ,,,,,
01-Dec-15,59.52,59.93,56.35,57.62,45.97,"29,610,100"
01-Nov-15,59.57,60.46,57.67,59.29,47.3,"10,651,300"
01-Oct-15,55.75,59.98,54.95,59.34,47.34,"11,352,900"
25-Sep-15,0.279 Dividend ,,,,,
01-Sep-15,57.16,59.09,54.05,55.31,43.91,"11,646,600"
01-Aug-15,61.85,62.11,53.1,57.73,45.83,"19,873,800"
01-Jul-15,62.33,62.81,59.86,61.83,49.08,"12,632,900"
26-Jun-15,0.453 Dividend ,,,,,
01-Jun-15,63.65,64.13,61.24,61.52,48.49,"9,658,300"
01-May-15,63.55,64.59,62.6,63.37,49.95,"6,004,400"
01-Apr-15,61.79,64.44,61.23,63.16,49.78,"6,947,400"
25-Mar-15,0.314 Dividend ,,,,,
01-Mar-15,62.71,63.17,60.39,61.59,48.3,"7,976,700"
01-Feb-15,59.52,62.9,59.09,62.66,49.14,"7,004,600"
01-Jan-15,60.16,60.73,58.01,59.14,46.38,"10,092,200"
22-Dec-14,0.378 Dividend ,,,,,
01-Dec-14,61.54,62,58.14,60.12,46.85,"12,610,300"
01-Nov-14,60.89,62.12,60.16,61.72,48.1,"6,429,700"
01-Oct-14,60.08,60.99,55.77,60.95,47.5,"11,440,800"
24-Sep-14,0.289 Dividend ,,,,,
01-Sep-14,62.88,63.35,60.06,60.38,46.84,"5,999,200"
01-Aug-14,61.13,62.87,60.09,62.76,48.68,"5,176,900"
01-Jul-14,62.48,63.12,61.12,61.14,47.42,"6,181,700"
24-Jun-14,0.463 Dividend ,,,,,
01-Jun-14,61.49,62.78,61.26,62.23,47.91,"6,207,600"
01-May-14,60.22,61.47,59.75,61.34,47.23,"3,961,900"
01-Apr-14,59.89,60.43,58.04,60.11,46.28,"7,717,300"
25-Mar-14,0.334 Dividend ,,,,,
01-Mar-14,58.93,60.43,58.32,59.67,45.68,"7,562,200"
01-Feb-14,56.92,60.03,55.53,59.72,45.72,"6,144,300"
01-Jan-14,59,59.39,56.4,56.76,43.45,"8,755,700"
20-Dec-13,0.374 Dividend ,,,,,
01-Dec-13,58.45,59.44,56.9,59.4,45.18,"7,187,700"
01-Nov-13,57.6,58.74,56.87,58.5,44.5,"4,791,100"
01-Oct-13,55.66,58.34,54.55,57.61,43.82,"8,107,700"
23-Sep-13,0.245 Dividend ,,,,,
01-Sep-13,53.52,57.2,53.19,55.55,42.07,"5,131,700"
01-Aug-13,54.73,55.12,52.75,52.84,40.02,"4,948,100"
01-Jul-13,51.92,54.88,51.27,54.17,41.02,"5,099,300"
24-Jun-13,0.439 Dividend ,,,,,
01-Jun-13,53.45,53.91,49.75,51.51,38.68,"5,370,400"
01-May-13,53.51,55.93,53.1,53.38,40.08,"6,230,900"
01-Apr-13,52.23,53.68,51.07,53.68,40.31,"4,933,600"
22-Mar-13,0.164 Dividend ,,,,,
01-Mar-13,51,52.7,50.85,52.28,39.13,"6,645,800"
01-Feb-13,51.74,52.13,50.36,51.24,38.35,"5,334,600"
01-Jan-13,50.22,51.75,49.84,51.4,38.47,"9,996,500"
20-Dec-12,0.555 Dividend ,,,,,
01-Dec-12,48.79,50.13,48.28,49.42,36.58,"6,369,000"
01-Nov-12,48.01,48.6,45.83,48.47,35.88,"6,043,600"
01-Oct-12,48.27,49.35,47.41,47.74,35.34,"3,203,400"
24-Sep-12,0.584 Dividend ,,,,,
01-Sep-12,47.17,50.34,46.85,48.03,35.13,"4,248,400"
01-Aug-12,46.23,48.08,45.09,47.14,34.48,"2,458,400"
01-Jul-12,45.74,46.43,43.95,46,33.64,"2,319,800"
01-Jun-12,42.85,45.68,42.19,45.67,33.4,"2,982,800"
01-May-12,47.6,48.2,43.07,43.44,31.77,"4,431,200"
01-Apr-12,48.23,48.97,46.02,47.7,34.89,"4,256,100"
01-Mar-12,47.89,48.96,46.2,48.27,35.3,"5,626,800"
01-Feb-12,46.07,48.32,46,47.71,34.9,"2,866,100"
01-Jan-12,44.01,46.21,43.31,45.54,33.31,"3,663,500"
21-Dec-11,1.018 Dividend ,,,,,
01-Dec-11,44.54,45.33,42.11,43.18,30.85,"5,228,500"
01-Nov-11,43.87,46.09,40.75,44.67,31.91,"3,442,900"
01-Oct-11,40.5,47.49,38.67,45.23,32.31,"4,280,600"
01-Sep-11,45.6,45.99,39.72,40.65,29.04,"5,916,100"
01-Aug-11,49.87,49.87,41.69,45.53,32.52,"5,501,800"
01-Jul-11,50.15,51.02,48.35,49.09,35.07,"2,191,600"
01-Jun-11,50.73,50.76,47.39,50.17,35.84,"2,302,500"
01-May-11,52.25,52.35,48.78,50.85,36.32,"1,614,700"
01-Apr-11,50.13,52.13,48.75,52.03,37.17,"1,631,800"
01-Mar-11,50.11,50.27,45.96,49.86,35.62,"2,646,500"
01-Feb-11,48.89,50.36,48.55,49.89,35.64,"1,429,600"
01-Jan-11,48.2,49.15,47.15,48.47,34.62,"2,547,200"
22-Dec-10,0.918 Dividend ,,,,,
01-Dec-10,46.15,48.3,46.12,47.8,33.5,"2,407,600"
01-Nov-10,46.55,48.36,45.03,45.26,31.72,"1,930,400"
01-Oct-10,45.19,47.03,44.52,46.49,32.58,"1,884,400"
01-Sep-10,41.54,45.33,41.45,44.79,31.39,"1,777,600"
01-Aug-10,43.18,43.68,40.08,40.7,28.52,"1,467,800"
01-Jul-10,39.01,42.89,38.31,42.39,29.7,"1,687,700"
01-Jun-10,39.59,42.34,38.44,38.82,27.2,"1,727,900"
01-May-10,44.5,44.86,37.93,39.94,27.99,"3,736,700"
01-Apr-10,44.98,46.55,43.8,44.32,31.06,"2,608,400"
01-Mar-10,41.9,44.7,41.88,44.52,31.2,"4,694,200"
01-Feb-10,41.3,42.37,39.23,41.74,29.25,"2,728,300"
01-Jan-10,43.73,44.93,40.7,40.89,28.65,"6,440,000"
24-Dec-09,0.662 Dividend ,,,,,
01-Dec-09,43.88,44.51,42.55,43.09,29.74,"3,126,000"
01-Nov-09,41.13,47.43,40.63,43.08,29.73,"3,237,200"
01-Oct-09,41.81,44.06,40,40.9,28.23,"4,532,500"
01-Sep-09,39.81,43,38.73,41.96,28.96,"2,895,900"
01-Aug-09,39.56,40.8,37.82,39.87,27.52,"3,410,100"
01-Jul-09,35.83,39.07,33.44,38.83,26.8,"3,090,600"
01-Jun-09,35.96,37.25,34.12,35.26,24.33,"1,561,400"
01-May-09,32.74,35.88,32.31,35.88,24.76,"2,101,900"
01-Apr-09,28.29,32.99,28.29,32.44,22.39,"1,748,000"
01-Mar-09,26.23,30.45,24.36,28.95,19.98,"2,912,800"
01-Feb-09,29,31.49,26.3,26.6,18.36,"2,075,400"
01-Jan-09,32.98,34.75,28.37,29.4,20.29,"2,530,800"
24-Dec-08,0.203 Dividend ,,,,,
01-Dec-08,30.92,34.66,28.75,32.98,22.61,"5,222,400"
01-Nov-08,34.65,35.99,26.6,31.49,21.59,"2,968,700"
01-Oct-08,41.59,42.83,29,33.79,23.17,"3,581,500"
01-Sep-08,47.32,47.69,35.85,43.01,29.49,"1,610,800"
01-Aug-08,48.19,50.02,46.14,47.32,32.45,"719,900"
01-Jul-08,49.13,49.69,46.34,48.21,33.06,"743,400"