,Studio,1 Bedroom,2 Bedroom,3 Bedroom +,Total
2001-10-01,622.00,762.00,917.00,1064.00,847.00
2002-10-01,623.00,767.00,932.00,1089.00,859.00
2003-10-01,627.00,767.00,934.00,1116.00,864.00
2004-10-01,623.00,771.00,942.00,1097.00,866.00
2005-10-01,628.00,762.00,923.00,1102.00,857.00
2006-10-01,633.00,774.00,943.00,1097.00,867.00
2007-10-01,643.00,798.00,963.00,1124.00,889.00
2008-10-01,671.00,827.00,996.00,1162.00,920.00
2009-10-01,688.00,853.00,1031.00,1206.00,951.00
2010-10-01,715.00,877.00,1050.00,1227.00,971.00
2011-10-01,728.00,899.00,1087.00,1256.00,1001.00
2012-10-01,754.00,916.00,1117.00,1296.00,1022.00
2013-10-01,766.00,932.00,1134.00,1320.00,1041.00
2014-10-01,780.00,936.00,1133.00,1320.00,1045.00
2015-10-01,801.00,972.00,1176.00,1329.00,1079.00
2016-10-01,812.00,982.00,1203.00,1372.00,1098.00
2017-10-01,836.00,1022.00,1234.00,1435.00,1137.00
2018-10-01,881.00,1088.00,1303.00,1468.00,1197.00
2019-10-01,933.00,1178.00,1415.00,1624.00,1304.00
2020-10-01,1001.00,1243.00,1519.00,1703.00,1380.00
2021-10-01,1061.00,1280.00,1554.00,1779.00,1430.00
2022-10-01,1121.00,1347.00,1635.00,1769.00,1481.00
2023-10-01,1172.00,1415.00,1709.00,1892.00,1560.00
2024-10-01,1253.00,1525.00,1886.00,2000.00,1691.00
2025-10-01,1332.00,1597.00,1918.00,2078.00,1741.00